ativo
AAPL
MSFT
NVDA
GOOG
GOOGL
AMZN
META
BRK.B
LLY
AVGO
TSLA
JPM
WMT
UNH
V
XOM
MA
PG
JNJ
COST
ORCL
HD
ABBV
BAC
KO
NFLX
MRK
CVX
ADBE
CRM
AMD
PEP
TMO
TMUS
LIN
ACN
MCD
CSCO
WFC
ABT
TXN
QCOM
DHR
PM
GE
IBM
AXP
AMGN
INTU
NOW
VZ
ISRG
CAT
GS
MS
NEE
PFE
DIS
RTX
AMAT
SPGI
UNP
UBER
CMCSA
PGR
T
LOW
SYK
LMT
HON
BLK
TJX
COP
BKNG
ELV
VRTX
REGN
NKE
ETN
BSX
C
SCHW
PLD
PANW
ADI
CB
MDT
ADP
MMC
ANET
KLAC
UPS
KKR
BX
SBUX
BA
MU
LRCX
DE
AMT
HCA
BMY
CI
FI
GILD
MDLZ
SO
INTC
SHW
ICE
MO
MCO
DUK
CL
WM
ZTS
GD
TT
APH
CTAS
SNPS
EQIX
CME
PH
TDG
CMG
NOC
ITW
AON
ABNB
PYPL
MMM
MSI
USB
CDNS
PNC
WELL
EOG
FDX
MCK
ECL
CVS
TGT
BDX
CRWD
CSX
MAR
CARR
ORLY
RSG
NXPI
AJG
FCX
SLB
APD
AFL
CEG
DHI
NEM
EMR
PSA
TFC
ROP
MPC
PSX
FTNT
NSC
COF
GM
WMB
ADSK
GEV
SPG
AZO
MET
HLT
O
OKE
AEP
OXY
SRE
TRV
CPRT
PCAR
BK
ROST
LEN
ALL
KDP
DLR
AIG
CHTR
URI
KMB
CCI
JCI
GWW
KMI
PAYX
VLO
COR
D
TEL
MNST
IQV
MSCI
MPWR
FIS
LHX
F
RCL
AMP
MCHP
STZ
PRU
CMI
KHC
HUM
FICO
HES
ACGL
EW
PCG
KVUE
NDAQ
CNC
ODFL
A
PWR
GIS
PEG
EA
CTVA
IDXX
AME
HWM
FAST
HSY
VRSK
GEHC
CTSH
KR
SYY
EXC
EFX
YUM
OTIS
IT
DOW
EXR
IR
NUE
RMD
GLW
GRMN
DD
ED
VICI
BKR
HPQ
DFS
FANG
CBRE
XEL
HIG
EIX
XYL
ON
IRM
EL
MLM
VMC
TRGP
LYB
AVB
LULU
CSGP
ROK
MTD
PPG
CDW
BRO
BIIB
MRNA
WAB
WTW
WEC
VST
ADM
EBAY
FITB
TSCO
MTB
LVS
EQR
TTWO
GPN
NVR
ANSS
DVN
AWK
DXCM
VLTO
K
AXON
CAH
HAL
PHM
DAL
KEYS
IFF
FTV
STT
DTE
ETR
VTR
SMCI
DOV
FE
HPE
TYL
CHD
BR
NTAP
SW
RJF
DECK
SBAC
FSLR
ROL
ES
STE
TROW
GDDY
PPL
ZBH
TSN
WST
WRB
INVH
WDC
LYV
TER
WY
AEE
CPAY
HBAN
BBY
BF.B
PTC
MKC
CBOE
HUBB
RF
CINF
LDOS
COO
STX
ARE
CCL
WAT
MOH
ATO
CMS
BLDR
TDY
GPC
EQT
SYF
OMC
CLX
CFG
ESS
BALL
BAX
LH
WBD
FOXA
APTV
MAA
HOLX
PFG
DRI
J
PKG
STLD
NTRS
FOX
DG
DLTR
EXPE
L
CTRA
VRSN
AVY
HRL
ZBRA
CNP
ALGN
JBHT
NRG
SWKS
DGX
EXPD
MAS
LUV
TXT
EG
IP
ULTA
AMCR
ENPH
NWS
GEN
NWSA
FDS
MRO
UHS
KEY
SWK
KIM
IEX
DOC
AKAM
RVTY
CF
SNA
CAG
LNT
CPB
NI
UDR
PNR
NDSN
DPZ
UAL
VTRS
BG
CE
PODD
TRMB
EVRG
POOL
CPT
KMX
REG
JNPR
DVA
INCY
JKHY
HST
JBL
IPG
AOS
SJM
AES
CHRW
ALLE
EMN
BXP
FFIV
TECH
TFX
EPAM
MGM
TAP
HII
SOLV
CTLT
QRVO
LKQ
RL
ALB
BEN
APA
CRL
AIZ
PNW
MHK
FRT
MTCH
HAS
GL
TPR
GNRC
BIO
MKTX
PAYC
MOS
DAY
HSIC
LW
WYNN
CZR
FMC
WBA
NCLH
BWA
IVZ
PARA
AAL
BBWI
ETSY
